Song Name,Query_0,Query_1,Query_2
"$唐老师,Wya乌鸦 - 买条街.mp3",1,1,1
20001S1 - Toby Fox-His Theme ▸ Sprightly（20001S1 remix）.mp3,1,1,1
"88rising,Rich Brian - History.mp3",1,1,1
a-ha - Take On Me (Official Video) [Remastered in 4K].mp3,1,1,0
Akie秋绘 - Lemon（翻自 米津玄師）.mp3,1,0,0
Alexei Shkurko - Diverse System-Closer (Dj Criswell Remix)（Axele／Music remix）.mp3,1,1,1
allenvee - 夜班车(「First Date俩少无猜」allenvee Bootleg).mp3,1,0,1
"Armon,Conor Maynard,Harper - One Dance (Armon Remix).mp3",1,1,1
Baracksdubs - Barack Obama Singing No.mp3,1,1,1
Basim - Stjæler Mit Hjerte.mp3,1,1,1
Big Z - Fool For You.mp3,0,0,1
Bishop Briggs - River.mp3,1,1,1
Bi哩Bi哩汪 - aHUOz.mp3,1,1,1
BLACKPINK - 'How You Like That' DANCE PERFORMANCE VIDEO.mp3,1,0,0
BLACKPINK - 'How You Like That' M_V.mp3,1,0,0
BLACKPINK - 'Kill This Love' M_V.mp3,1,1,1
BLACKPINK - '붐바야 (BOOMBAYAH)' M_V.mp3,1,1,1
BLACKPINK - ‘뚜두뚜두 (DDU-DU DDU-DU)’ M_V.mp3,0,0,1
"BlocBoy JB,Drake - Look Alive (feat. Drake).mp3",1,1,1
"Boehm,Benjamin Francis Leftwich - Won't Back Down (Boehm Remix).mp3",1,1,0
C&C Music Factory - Everybody Dance Now.mp3,1,1,1
C.HØPE - 沉沦与遐想.mp3,1,1,1
"Caked Up,Bobby Shmurda - Hot N#Gga (Caked Up Remix).mp3",1,1,1
Cameron Ulrich - Imagine (XXXTentacion 17 Type Beat).mp3,1,1,1
Camila Cabello - Bam Bam (Official Music Video) ft. Ed Sheeran.mp3,1,0,1
Camila Cabello - Bam Bam ft. Ed Sheeran (TikTok LIVE “Familia_ Welcome to the Family”).mp3,1,0,1
Camila Cabello - psychofreak (Official Music Video) ft. WILLOW.mp3,1,0,0
Camila Cabello - Real Friends (Audio).mp3,1,1,1
"Cartoon,Futuristik,Mikk Mäe - C U Again.mp3",1,1,0
Charlie Puth - Attention [Official Video].mp3,1,1,0
Charlie Puth - Light Switch [Official Music Video].mp3,1,1,1
Charlie Puth - Marvin Gaye ft. Meghan Trainor [Official Video].mp3,1,1,0
Charlie Puth - That's Hilarious (Official Visualizer).mp3,1,0,0
Childish Gambino - Redbone (Official Audio).mp3,1,1,1
Chopin - Nocturne op.9 No.2.mp3,1,1,1
"Clean Bandit,Jess Glynne - Rather Be (Instrumental).mp3",1,1,1
ClockClock - Sorry (One Take Video).mp3,1,1,1
Connie Talbot - Count on Me.mp3,1,0,1
"convolk,Guardin,9TAILS - whatever it takes.mp3",1,1,1
"Copy,BT07 - 晚风.mp3",1,1,1
Crizzly - Certified Gz.mp3,1,1,1
Cryptex - Antique Gucci (Cryptex Mashup).mp3,1,1,1
cuco - Melting.mp3,0,1,1
"CURSEELF,FEEEleven - 11＆0.mp3",0,0,0
D.Mao - NO ONE（翻自 李夏怡）.mp3,1,1,0
"D.Mao,ANNI.7 - 幻听(환청)（Cover 张在仁 ／ NaShow）.mp3",1,1,1
Dance Monkey - Tones and I  _ Choreography by Desireé Leucci _ DANCE ENERGY STUDIO.mp3,1,1,1
"Daoko,米津玄師 - 打上花火.mp3",1,0,1
Delacey - Dream It Possible.mp3,1,0,1
Denisse Borquez - Move Along.mp3,1,1,1
Dilan Ekinci - Bana Ellerini Ver.mp3,1,0,1
"DISTO,twenty one pilots - Heathens (DISTO Remix).mp3",1,1,1
"DJ Asher,The Chainsmokers,Coldplay - Something Just Like This (DJ Asher Remix Cover).mp3",1,0,1
"DJ Flex,Yo Gotti - Down In The DM (DJ Flex Remix).mp3",1,1,1
Dj Titon - 死机之歌.mp3,1,1,1
Doja Cat - Need to Know (Official Video).mp3,1,1,0
Doja Cat - Woman (Official Video).mp3,1,0,1
Donkeyboy - Lost.mp3,1,1,1
Dr. Dre - Bang Bang (instrumental).mp3,1,1,1
Drake - Duppy Freestyle.mp3,1,0,0
Drake - God's Plan.mp3,1,1,1
Drake - Hotline Bling.mp3,1,0,0
Drake - Laugh Now Cry Later (Official Music Video) ft. Lil Durk.mp3,1,1,1
DryJo - Katie Sky-Monsters（DryJo remix）.mp3,1,1,1
Dua Lipa - Levitating Featuring DaBaby (Official Music Video).mp3,0,1,1
Dua Lipa - Physical (Official Video).mp3,1,1,0
"Eastside,Ed Sheeran - Ellie.mp3",0,1,1
embrace. - instagram（Cover 权革DEAN）.mp3,1,1,1
f(x) 에프엑스 'Electric Shock' MV.mp3,1,0,1
"FKJ,Tom Bailey - Drops.mp3",1,1,1
"Flori Mumajesi,Ledri Vula - Beautiful.mp3",0,1,1
Future - Life Is Good (Official Music Video) ft. Drake.mp3,1,1,0
Future - Low Life (Official Music Video) ft. The Weeknd.mp3,1,0,1
Future - Mask Off (Official Music Video).mp3,0,0,1
GAI《沧海一声笑》.mp3,0,0,1
Gamper & Dadoni - The La La La Remix.mp3,1,1,1
"Gianni Kosta,BYNON,Bishop Briggs - Hey Hey (Gianni Kosta Remix).mp3",1,1,1
Halsey - Sorry.mp3,1,1,1
Higher Brothers - Open it Up (Clean).mp3,1,1,1
"Higher Brothers,HARIKIRI - 暴风雨.mp3",1,1,1
"Higher Brothers,马思唯 - 711.mp3",1,1,1
"iann dior - 18 (prod. nick mira, kc supreme, & taz taylor).mp3",1,1,1
"Jameston Thieves,Krumm - Unusual Suspects.mp3",1,1,1
Jason Mraz - Try Try Try.mp3,0,0,1
"Joel Hanson,Sara Groves - Traveling Light.mp3",1,1,1
Jon Young - 2 Soon.mp3,1,1,0
Justin Bieber - Baby (Official Music Video) ft. Ludacris.mp3,1,1,1
Justin Bieber - Ghost.mp3,0,1,0
Justin Bieber - Sorry (PURPOSE _ The Movement).mp3,1,0,0
K.A.A.N. - Kaancepts.mp3,1,1,0
Kait Weston - I Just Wanna Run.mp3,1,0,0
